cik,date,value,component
1595726,2019-01-01,1,adoption_domestic
1596958,2019-01-01,1,adoption_domestic
1597339,2019-01-01,1,adoption_domestic
1600823,2019-01-01,1,adoption_domestic
1600824,2019-01-01,1,adoption_domestic
1600831,2019-01-01,1,adoption_domestic
1601617,2019-01-01,1,adoption_domestic
1601705,2019-01-01,1,adoption_domestic
1601744,2019-01-01,1,adoption_domestic
1603578,2019-01-01,1,adoption_domestic
1604083,2019-01-01,1,adoption_domestic
1604119,2019-01-01,1,adoption_domestic
1605257,2019-01-01,1,adoption_domestic
1606442,2019-01-01,1,adoption_domestic
1607484,2019-01-01,1,adoption_domestic
1607641,2019-01-01,1,adoption_domestic
1607865,2019-01-01,1,adoption_domestic
1609671,2019-01-01,1,adoption_domestic
1610486,2019-01-01,1,adoption_domestic
1610796,2019-01-01,1,adoption_domestic
1612124,2019-01-01,1,adoption_domestic
1612518,2019-01-01,1,adoption_domestic
1614033,2019-01-01,1,adoption_domestic
1616666,2019-01-01,1,adoption_domestic
1617760,2019-01-01,1,adoption_domestic
1617959,2019-01-01,1,adoption_domestic
1618150,2019-01-01,1,adoption_domestic
1618713,2019-01-01,1,adoption_domestic
1619511,2019-01-01,1,adoption_domestic
1619616,2019-01-01,1,adoption_domestic
1620305,2019-01-01,1,adoption_domestic
1621379,2019-01-01,1,adoption_domestic
1621466,2019-01-01,1,adoption_domestic
1622413,2019-01-01,1,adoption_domestic
1622765,2019-01-01,1,adoption_domestic
1623838,2019-01-01,1,adoption_domestic
1623916,2019-01-01,1,adoption_domestic
1625426,2019-01-01,1,adoption_domestic
1626941,2019-01-01,1,adoption_domestic
1628112,2019-01-01,1,adoption_domestic
1629069,2019-01-01,1,adoption_domestic
1629716,2019-01-01,1,adoption_domestic
1630477,2019-01-01,1,adoption_domestic
1630513,2019-01-01,1,adoption_domestic
1632814,2019-01-01,1,adoption_domestic
1633533,2019-01-01,1,adoption_domestic
1634172,2019-01-01,1,adoption_domestic
1636513,2019-01-01,1,adoption_domestic
1636708,2019-01-01,1,adoption_domestic
1637008,2019-01-01,1,adoption_domestic
1638227,2019-01-01,1,adoption_domestic
1638933,2019-01-01,1,adoption_domestic
1639353,2019-01-01,1,adoption_domestic
1640052,2019-01-01,1,adoption_domestic
1640584,2019-01-01,1,adoption_domestic
1640775,2019-01-01,1,adoption_domestic
1642727,2019-01-01,1,adoption_domestic
1643550,2019-01-01,1,adoption_domestic
1643661,2019-01-01,1,adoption_domestic
1644697,2019-01-01,1,adoption_domestic
1644943,2019-01-01,1,adoption_domestic
