cik,date,value,component
1305773,2017-01-01,1,adoption_domestic
1388410,2017-01-01,1,adoption_domestic
1436229,2017-01-01,1,adoption_domestic
1459417,2017-01-01,1,adoption_domestic
1505512,2017-01-01,1,adoption_domestic
1635650,2017-01-01,1,adoption_domestic
2488,2018-01-01,1,adoption_domestic
3197,2018-01-01,1,adoption_domestic
7431,2018-01-01,1,adoption_domestic
12239,2018-01-01,1,adoption_domestic
19745,2018-01-01,1,adoption_domestic
75488,2018-01-01,1,adoption_domestic
704172,2018-01-01,1,adoption_domestic
748268,2018-01-01,1,adoption_domestic
830656,2018-01-01,1,adoption_domestic
896156,2018-01-01,1,adoption_domestic
896493,2018-01-01,1,adoption_domestic
1001601,2018-01-01,1,adoption_domestic
1004980,2018-01-01,1,adoption_domestic
1051251,2018-01-01,1,adoption_domestic
1060409,2018-01-01,1,adoption_domestic
1084370,2018-01-01,1,adoption_domestic
1084384,2018-01-01,1,adoption_domestic
1167419,2018-01-01,1,adoption_domestic
1388410,2018-01-01,1,adoption_domestic
1389067,2018-01-01,1,adoption_domestic
1419793,2018-01-01,1,adoption_domestic
1420368,2018-01-01,1,adoption_domestic
1436229,2018-01-01,1,adoption_domestic
1459482,2018-01-01,1,adoption_domestic
1483646,2018-01-01,1,adoption_domestic
1499961,2018-01-01,1,adoption_domestic
1500242,2018-01-01,1,adoption_domestic
1505512,2018-01-01,1,adoption_domestic
1507605,2018-01-01,1,adoption_domestic
1515139,2018-01-01,1,adoption_domestic
1515673,2018-01-01,1,adoption_domestic
1520118,2018-01-01,1,adoption_domestic
1523855,2018-01-01,1,adoption_domestic
1527702,2018-01-01,1,adoption_domestic
1538217,2018-01-01,1,adoption_domestic
1543739,2018-01-01,1,adoption_domestic
1555972,2018-01-01,1,adoption_domestic
1556801,2018-01-01,1,adoption_domestic
1580485,2018-01-01,1,adoption_domestic
1581280,2018-01-01,1,adoption_domestic
1589149,2018-01-01,1,adoption_domestic
1597929,2018-01-01,1,adoption_domestic
1600347,2018-01-01,1,adoption_domestic
1629261,2018-01-01,1,adoption_domestic
1635650,2018-01-01,1,adoption_domestic
1644825,2018-01-01,1,adoption_domestic
1675634,2018-01-01,1,adoption_domestic
1681459,2018-01-01,1,adoption_domestic
1688126,2018-01-01,1,adoption_domestic
1689923,2018-01-01,1,adoption_domestic
1699683,2018-01-01,1,adoption_domestic
1702015,2018-01-01,1,adoption_domestic
19745,2019-01-01,1,adoption_domestic
100378,2019-01-01,1,adoption_domestic
748268,2019-01-01,1,adoption_domestic
823546,2019-01-01,1,adoption_domestic
824410,2019-01-01,1,adoption_domestic
830656,2019-01-01,1,adoption_domestic
837852,2019-01-01,1,adoption_domestic
842013,2019-01-01,1,adoption_domestic
896156,2019-01-01,1,adoption_domestic
896493,2019-01-01,1,adoption_domestic
920448,2019-01-01,1,adoption_domestic
1001601,2019-01-01,1,adoption_domestic
1098972,2019-01-01,1,adoption_domestic
1130713,2019-01-01,1,adoption_domestic
1167419,2019-01-01,1,adoption_domestic
1309402,2019-01-01,1,adoption_domestic
1355839,2019-01-01,1,adoption_domestic
1376986,2019-01-01,1,adoption_domestic
1389067,2019-01-01,1,adoption_domestic
1392694,2019-01-01,1,adoption_domestic
1404935,2019-01-01,1,adoption_domestic
1420368,2019-01-01,1,adoption_domestic
1436229,2019-01-01,1,adoption_domestic
1459482,2019-01-01,1,adoption_domestic
1460702,2019-01-01,1,adoption_domestic
1505512,2019-01-01,1,adoption_domestic
1507605,2019-01-01,1,adoption_domestic
1515139,2019-01-01,1,adoption_domestic
1520118,2019-01-01,1,adoption_domestic
1527702,2019-01-01,1,adoption_domestic
1555972,2019-01-01,1,adoption_domestic
1581280,2019-01-01,1,adoption_domestic
1610462,2019-01-01,1,adoption_domestic
1626644,2019-01-01,1,adoption_domestic
1647170,2019-01-01,1,adoption_domestic
1665300,2019-01-01,1,adoption_domestic
1675634,2019-01-01,1,adoption_domestic
1681459,2019-01-01,1,adoption_domestic
1683252,2019-01-01,1,adoption_domestic
1688126,2019-01-01,1,adoption_domestic
1702015,2019-01-01,1,adoption_domestic
1730869,2019-01-01,1,adoption_domestic
19745,2020-01-01,1,adoption_domestic
751364,2020-01-01,1,adoption_domestic
823546,2020-01-01,1,adoption_domestic
830656,2020-01-01,1,adoption_domestic
837852,2020-01-01,1,adoption_domestic
896156,2020-01-01,1,adoption_domestic
896493,2020-01-01,1,adoption_domestic
932021,2020-01-01,1,adoption_domestic
1001601,2020-01-01,1,adoption_domestic
1039280,2020-01-01,1,adoption_domestic
1130713,2020-01-01,1,adoption_domestic
1167419,2020-01-01,1,adoption_domestic
1289850,2020-01-01,1,adoption_domestic
1300734,2020-01-01,1,adoption_domestic
1312109,2020-01-01,1,adoption_domestic
1355839,2020-01-01,1,adoption_domestic
1376321,2020-01-01,1,adoption_domestic
1389067,2020-01-01,1,adoption_domestic
1404935,2020-01-01,1,adoption_domestic
1420368,2020-01-01,1,adoption_domestic
1436229,2020-01-01,1,adoption_domestic
1505512,2020-01-01,1,adoption_domestic
1507605,2020-01-01,1,adoption_domestic
1515139,2020-01-01,1,adoption_domestic
1520118,2020-01-01,1,adoption_domestic
1527702,2020-01-01,1,adoption_domestic
1555972,2020-01-01,1,adoption_domestic
1581280,2020-01-01,1,adoption_domestic
1588489,2020-01-01,1,adoption_domestic
1592782,2020-01-01,1,adoption_domestic
1631463,2020-01-01,1,adoption_domestic
1644675,2020-01-01,1,adoption_domestic
1665300,2020-01-01,1,adoption_domestic
1675634,2020-01-01,1,adoption_domestic
1702015,2020-01-01,1,adoption_domestic
1730869,2020-01-01,1,adoption_domestic
1746563,2020-01-01,1,adoption_domestic
1760683,2020-01-01,1,adoption_domestic
1765048,2020-01-01,1,adoption_domestic
1766352,2020-01-01,1,adoption_domestic
1768224,2020-01-01,1,adoption_domestic
19745,2021-01-01,1,adoption_domestic
64463,2021-01-01,1,adoption_domestic
771999,2021-01-01,1,adoption_domestic
823546,2021-01-01,1,adoption_domestic
830656,2021-01-01,1,adoption_domestic
837852,2021-01-01,1,adoption_domestic
868082,2021-01-01,1,adoption_domestic
889331,2021-01-01,1,adoption_domestic
896156,2021-01-01,1,adoption_domestic
896493,2021-01-01,1,adoption_domestic
932021,2021-01-01,1,adoption_domestic
1001601,2021-01-01,1,adoption_domestic
1021096,2021-01-01,1,adoption_domestic
1045810,2021-01-01,1,adoption_domestic
1064722,2021-01-01,1,adoption_domestic
1104038,2021-01-01,1,adoption_domestic
1130713,2021-01-01,1,adoption_domestic
1167419,2021-01-01,1,adoption_domestic
1312109,2021-01-01,1,adoption_domestic
1372183,2021-01-01,1,adoption_domestic
1376321,2021-01-01,1,adoption_domestic
1389067,2021-01-01,1,adoption_domestic
1396440,2021-01-01,1,adoption_domestic
1419275,2021-01-01,1,adoption_domestic
1420368,2021-01-01,1,adoption_domestic
1436229,2021-01-01,1,adoption_domestic
1448695,2021-01-01,1,adoption_domestic
1467373,2021-01-01,1,adoption_domestic
1507605,2021-01-01,1,adoption_domestic
1510832,2021-01-01,1,adoption_domestic
1515139,2021-01-01,1,adoption_domestic
1520118,2021-01-01,1,adoption_domestic
1525852,2021-01-01,1,adoption_domestic
1527702,2021-01-01,1,adoption_domestic
1535079,2021-01-01,1,adoption_domestic
1555972,2021-01-01,1,adoption_domestic
1579010,2021-01-01,1,adoption_domestic
1581280,2021-01-01,1,adoption_domestic
1588489,2021-01-01,1,adoption_domestic
1589149,2021-01-01,1,adoption_domestic
1590496,2021-01-01,1,adoption_domestic
1665300,2021-01-01,1,adoption_domestic
1675634,2021-01-01,1,adoption_domestic
1683252,2021-01-01,1,adoption_domestic
1702015,2021-01-01,1,adoption_domestic
1725210,2021-01-01,1,adoption_domestic
1729997,2021-01-01,1,adoption_domestic
1730869,2021-01-01,1,adoption_domestic
1737924,2021-01-01,1,adoption_domestic
1765048,2021-01-01,1,adoption_domestic
1766352,2021-01-01,1,adoption_domestic
1770141,2021-01-01,1,adoption_domestic
1813793,2021-01-01,1,adoption_domestic
1815086,2021-01-01,1,adoption_domestic
1816114,2021-01-01,1,adoption_domestic
1831236,2021-01-01,1,adoption_domestic
1832010,2021-01-01,1,adoption_domestic
19745,2022-01-01,1,adoption_domestic
52428,2022-01-01,1,adoption_domestic
64463,2022-01-01,1,adoption_domestic
225211,2022-01-01,1,adoption_domestic
356590,2022-01-01,1,adoption_domestic
771999,2022-01-01,1,adoption_domestic
830656,2022-01-01,1,adoption_domestic
837852,2022-01-01,1,adoption_domestic
880631,2022-01-01,1,adoption_domestic
896156,2022-01-01,1,adoption_domestic
896493,2022-01-01,1,adoption_domestic
924095,2022-01-01,1,adoption_domestic
924396,2022-01-01,1,adoption_domestic
932021,2022-01-01,1,adoption_domestic
1001601,2022-01-01,1,adoption_domestic
1036848,2022-01-01,1,adoption_domestic
1045810,2022-01-01,1,adoption_domestic
1060736,2022-01-01,1,adoption_domestic
1064722,2022-01-01,1,adoption_domestic
1066923,2022-01-01,1,adoption_domestic
1074828,2022-01-01,1,adoption_domestic
1083301,2022-01-01,1,adoption_domestic
1095315,2022-01-01,1,adoption_domestic
1099590,2022-01-01,1,adoption_domestic
1104038,2022-01-01,1,adoption_domestic
1130713,2022-01-01,1,adoption_domestic
1144879,2022-01-01,1,adoption_domestic
1218683,2022-01-01,1,adoption_domestic
1281984,2022-01-01,1,adoption_domestic
1299709,2022-01-01,1,adoption_domestic
1312109,2022-01-01,1,adoption_domestic
1325964,2022-01-01,1,adoption_domestic
1372183,2022-01-01,1,adoption_domestic
1376321,2022-01-01,1,adoption_domestic
1381197,2022-01-01,1,adoption_domestic
1386044,2022-01-01,1,adoption_domestic
1389067,2022-01-01,1,adoption_domestic
1393548,2022-01-01,1,adoption_domestic
1393818,2022-01-01,1,adoption_domestic
1394108,2022-01-01,1,adoption_domestic
1396440,2022-01-01,1,adoption_domestic
1403256,2022-01-01,1,adoption_domestic
1411579,2022-01-01,1,adoption_domestic
1419275,2022-01-01,1,adoption_domestic
1436229,2022-01-01,1,adoption_domestic
1437491,2022-01-01,1,adoption_domestic
1439264,2022-01-01,1,adoption_domestic
1451448,2022-01-01,1,adoption_domestic
1454742,2022-01-01,1,adoption_domestic
1467373,2022-01-01,1,adoption_domestic
1507605,2022-01-01,1,adoption_domestic
1510832,2022-01-01,1,adoption_domestic
1515139,2022-01-01,1,adoption_domestic
1520118,2022-01-01,1,adoption_domestic
1523486,2022-01-01,1,adoption_domestic
1527702,2022-01-01,1,adoption_domestic
1553264,2022-01-01,1,adoption_domestic
1555074,2022-01-01,1,adoption_domestic
1555972,2022-01-01,1,adoption_domestic
1588489,2022-01-01,1,adoption_domestic
1600641,2022-01-01,1,adoption_domestic
1605057,2022-01-01,1,adoption_domestic
1605331,2022-01-01,1,adoption_domestic
1648365,2022-01-01,1,adoption_domestic
1652958,2022-01-01,1,adoption_domestic
1665300,2022-01-01,1,adoption_domestic
1673481,2022-01-01,1,adoption_domestic
1675634,2022-01-01,1,adoption_domestic
1679788,2022-01-01,1,adoption_domestic
1683252,2022-01-01,1,adoption_domestic
1686400,2022-01-01,1,adoption_domestic
1702015,2022-01-01,1,adoption_domestic
1705181,2022-01-01,1,adoption_domestic
1706509,2022-01-01,1,adoption_domestic
1723788,2022-01-01,1,adoption_domestic
1725210,2022-01-01,1,adoption_domestic
1729997,2022-01-01,1,adoption_domestic
1730869,2022-01-01,1,adoption_domestic
1732406,2022-01-01,1,adoption_domestic
1732409,2022-01-01,1,adoption_domestic
1737372,2022-01-01,1,adoption_domestic
1737924,2022-01-01,1,adoption_domestic
1740742,2022-01-01,1,adoption_domestic
1745078,2022-01-01,1,adoption_domestic
1748945,2022-01-01,1,adoption_domestic
1761325,2022-01-01,1,adoption_domestic
1765048,2022-01-01,1,adoption_domestic
1766352,2022-01-01,1,adoption_domestic
1767057,2022-01-01,1,adoption_domestic
1783879,2022-01-01,1,adoption_domestic
1803914,2022-01-01,1,adoption_domestic
1808805,2022-01-01,1,adoption_domestic
1813793,2022-01-01,1,adoption_domestic
1815086,2022-01-01,1,adoption_domestic
1819989,2022-01-01,1,adoption_domestic
1820302,2022-01-01,1,adoption_domestic
1823144,2022-01-01,1,adoption_domestic
1829311,2022-01-01,1,adoption_domestic
1832161,2022-01-01,1,adoption_domestic
1837067,2022-01-01,1,adoption_domestic
1839341,2022-01-01,1,adoption_domestic
1844684,2022-01-01,1,adoption_domestic
1844971,2022-01-01,1,adoption_domestic
1856028,2022-01-01,1,adoption_domestic
1858685,2022-01-01,1,adoption_domestic
1865191,2022-01-01,1,adoption_domestic
1867757,2022-01-01,1,adoption_domestic
1870471,2022-01-01,1,adoption_domestic
19745,2023-01-01,1,adoption_domestic
52428,2023-01-01,1,adoption_domestic
64463,2023-01-01,1,adoption_domestic
356590,2023-01-01,1,adoption_domestic
